id,discipline_id,gender,cat_name,from_age,to_age,status,created_at
70,26,1,"Senior Men (U35)",19,35,1,"2024-11-29 17:02:39"
71,26,2,"Senior Women (U35)",19,35,1,"2024-11-29 17:02:39"
72,27,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
73,27,2,"Senior Women (Open)",5,65,1,"2024-11-29 17:02:39"
74,28,1,"Senior Men (Open)",5,65,1,"2024-11-29 17:02:39"
75,28,2,"Senior Women (Open)",5,65,1,"2024-11-29 17:02:39"
76,29,1,"Group |",15,17,1,"2024-11-29 17:02:39"
77,29,2,"Group |",15,17,1,"2024-11-29 17:02:39"
78,30,1,"Junior Boys (U19)",5,19,1,"2024-11-29 17:02:39"
79,30,2,"Junior Girls (U19)",5,19,1,"2024-11-29 17:02:39"
80,31,1,"Sub Jr Boys (U14)",8,14,1,"2024-11-29 17:02:39"
81,31,2,"Sub Jr Girls (U14)",8,14,1,"2024-11-29 17:02:39"
82,31,1,"Junior Boys (U17)",15,17,1,"2024-11-29 17:02:39"
83,31,2,"Junior Girls (U17)",15,17,1,"2024-11-29 17:02:39"
84,32,1,"Junior Boys (U18)",5,18,1,"2024-11-29 17:02:39"
85,32,2,"Junior Girls (U18)",5,18,1,"2024-11-29 17:02:39"
86,33,1,"Junior Boys (U20)",5,20,1,"2024-11-29 17:02:39"
87,33,2,"Junior Girls (U20)",5,20,1,"2024-11-29 17:02:39"
88,34,1,"Sub Jr Boys (U17)",15,17,1,"2024-11-29 17:02:39"
89,34,1,"Junior Boys (U20)",18,20,1,"2024-11-29 17:02:39"
90,35,1,"Sub Jr Boys (U14)",5,14,1,"2024-11-29 17:02:39"
91,35,2,"Sub Jr Girls (U14)",5,14,1,"2024-11-29 17:02:39"
92,35,1,"Junior Boys (U18)",14,18,1,"2024-11-29 17:02:39"
93,35,2,"Junior Girls (U18)",14,18,1,"2024-11-29 17:02:39"
94,36,1,"Junior Boys (U19)",14,19,1,"2024-11-29 17:02:39"
95,36,2,"Junior Girls (U19)",14,19,1,"2024-11-29 17:02:39"
96,36,1,"Senior Men (U25)",19,25,1,"2024-11-29 17:02:39"
97,36,2,"Senior Women (U25)",19,25,1,"2024-11-29 17:02:39"
98,37,1,"Open Men",10,65,1,"2024-11-23 01:17:23"
99,37,2,"Open Women",10,65,1,"2024-11-23 01:17:23"
100,38,1,"Open Men",10,65,1,"2024-11-23 01:18:32"
101,38,2,"Open Women",10,65,1,"2024-11-23 01:18:32"
102,39,1,"Open Men",10,65,1,"2024-11-23 01:21:48"
103,39,2,"Open Women",10,65,1,"2024-11-23 01:21:48"
104,40,1,"Open Men",10,65,1,"2024-11-23 01:22:32"
105,40,2,"Open Women",10,65,1,"2024-11-23 01:22:32"
106,41,1,"Open Men",10,65,1,"2024-11-23 01:23:51"
107,41,2,"Open Women",10,65,1,"2024-11-23 01:23:51"
108,42,1,"Open Men",10,65,1,"2024-11-23 01:24:27"
109,42,2,"Open Women",10,65,1,"2024-11-23 01:24:27"
110,34,2,"Sub Jr Girls (U17)",15,17,1,"2024-12-11 14:18:12"
111,34,2,"Junior Girls (U20)",18,20,1,"2024-12-11 14:18:44"
112,36,1,"Sub jr Boys (U14)",10,14,1,"2024-12-18 16:00:35"
113,36,2,"sub jr girls (U14)",10,14,1,"2024-12-18 16:00:56"
114,13,1,"Sub Junior Boys (U14)",5,14,1,"2024-11-29 17:02:39"
115,13,2,"Sub Junior Girls (U12)",5,12,1,"2024-11-29 17:02:39"
116,29,1,"group || ",13,14,1,"2024-11-29 17:02:39"
117,29,2,"group || ",13,14,1,"2024-11-29 17:02:39"
118,29,1,"group III ",11,12,1,"2024-11-29 17:02:39"
119,29,2,"group III ",11,12,1,"2024-11-29 17:02:39"
120,29,1,"group IV ",10,10,1,"2024-11-29 17:02:39"
121,29,2,"group IV ",10,10,1,"2024-11-29 17:02:39"
122,43,1,"Sub Junior",8,14,1,"2024-11-29 17:02:39"
123,43,2,"Sub Junior",8,14,1,"2024-11-29 17:02:39"
