fixture_id,gender,disc_id,match_no,match_day,match_date,match_time,end_time,round_name,group_id,team1_dist_id,team2_dist_id,venue,result
115,2,12,"Match- 7","Day- 1",NULL,14:00,15:00,NULL,1,18,19,"Venue- 1",NULL
116,2,12,"Match- 8","Day- 1",NULL,09:20,10:20,NULL,1,28,6,"Venue- 1",NULL
117,1,12,"Match 1","Day 1",NULL,07:00,08:10,NULL,2,9,30,"Venue 2",NULL
118,1,12,"Match 2","Day 1",NULL,08:20,09:30,NULL,2,33,1,"Venue 2",NULL
119,2,12,"Match- 9","Day- 1",NULL,16:20,17:20,NULL,1,16,10,"Venue- 1",NULL
120,1,12,"Match 3","Day 1",NULL,09:40,10:50,NULL,2,10,29,"Venue 2",NULL
121,2,12,"Match- 1","Day- 1",NULL,07:00,08:00,NULL,2,9,2,"Venue- 2",NULL
122,1,12,"Match 4","Day 1",NULL,11:00,12:10,NULL,2,28,23,"Venue 2",NULL
123,2,12,"Match- 2","Day- 1",NULL,08:10,09:10,NULL,2,7,17,"Venue- 2",NULL
124,1,12,"Match 5","Day 1",NULL,12:20,01:30,NULL,2,14,32,"Venue 2",NULL
125,1,12,"Match 6","Day 1",NULL,01:40,02:50,NULL,2,12,11,"Venue 6",NULL
126,2,12,"Match- 3","Day- 1",NULL,09:20,10:20,NULL,2,27,15,"Venue- 2",NULL
127,1,12,"Match 7","Day 1",NULL,03:00,04:10,NULL,2,16,21,"Venue 2",NULL
128,2,12,"Match- 4","Day- 1",NULL,10:30,11:30,NULL,2,1,29,"Venue- 2",NULL
129,1,12,"Match 8","Day 1",NULL,04:20,05:30,NULL,2,22,17,"Venue 2",NULL
130,2,12,"Match- 5","Day- 1",NULL,11:40,12:40,NULL,2,23,13,Venue-2,NULL
131,2,12,"Match- 6","Day- 1",NULL,12:50,13:50,NULL,2,22,26,"Venue- 2",NULL
132,2,12,"Match- 7","Day- 1",NULL,14:00,15:00,NULL,2,31,32,"Venue- 2",NULL
133,2,12,"Match- 8","Day- 1",NULL,15:10,16:10,NULL,2,33,4,"Venue- 2",NULL
135,2,25,NULL,NULL,NULL,NULL,NULL,NULL,1,20,10,NULL,NULL
136,2,25,NULL,NULL,NULL,NULL,NULL,NULL,2,28,18,NULL,NULL
137,2,25,NULL,NULL,NULL,NULL,NULL,NULL,1,20,4,NULL,NULL
138,2,25,NULL,NULL,NULL,NULL,NULL,NULL,2,28,9,NULL,NULL
139,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,10,31,NULL,NULL
140,2,25,NULL,NULL,NULL,NULL,NULL,NULL,1,10,31,NULL,NULL
141,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,28,32,NULL,NULL
142,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,7,3,NULL,NULL
143,2,25,NULL,NULL,NULL,NULL,NULL,NULL,2,18,3,NULL,NULL
144,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,13,17,NULL,NULL
145,2,25,NULL,NULL,NULL,NULL,NULL,NULL,3,6,7,NULL,NULL
146,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,20,6,NULL,NULL
147,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,24,18,NULL,NULL
148,2,25,NULL,NULL,NULL,NULL,NULL,NULL,4,24,13,NULL,NULL
149,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,9,19,NULL,NULL
150,2,25,NULL,NULL,NULL,NULL,NULL,NULL,1,31,4,NULL,NULL
151,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,16,11,NULL,NULL
152,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,20,4,NULL,NULL
153,2,25,NULL,NULL,NULL,NULL,NULL,NULL,2,3,9,NULL,NULL
154,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,24,12,NULL,NULL
155,2,25,NULL,NULL,NULL,NULL,NULL,NULL,3,7,23,NULL,NULL
156,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,9,26,NULL,NULL
157,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,16,23,NULL,NULL
158,2,25,NULL,NULL,NULL,NULL,NULL,NULL,4,13,12,NULL,NULL
159,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,6,31,NULL,NULL
160,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,18,32,NULL,NULL
161,2,25,NULL,NULL,NULL,NULL,NULL,NULL,1,31,20,NULL,NULL
162,2,25,NULL,NULL,NULL,NULL,NULL,NULL,2,3,28,NULL,NULL
163,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,19,3,NULL,NULL
164,2,25,NULL,NULL,NULL,NULL,NULL,NULL,1,4,10,NULL,NULL
165,1,25,NULL,NULL,NULL,NULL,NULL,NULL,4,11,17,NULL,NULL
166,2,25,NULL,NULL,NULL,NULL,NULL,NULL,2,9,18,NULL,NULL
167,1,25,NULL,NULL,NULL,NULL,NULL,NULL,1,6,10,NULL,NULL
168,2,25,NULL,NULL,NULL,NULL,NULL,NULL,3,23,6,NULL,NULL
169,1,25,NULL,NULL,NULL,NULL,NULL,NULL,2,18,28,NULL,NULL
170,1,25,NULL,NULL,NULL,NULL,NULL,NULL,3,19,7,NULL,NULL
171,2,25,NULL,NULL,NULL,NULL,NULL,NULL,4,12,24,NULL,NULL
